Country_Name;Country_Code;Continent_Name;Continent_Code;Population_1960;Population_2018;GDP_per_capita_1960;GDP_per_capita_2018;Life_expectancy_at_birth_1960;Life_expectancy_at_birth_2018
Spain;ESP;Europe;EU;30455000;46480882;396.3922533;25732.01836;69.10926829;83.33414634
Sri Lanka;LKA;Asia;AS;9874476;20778000;142.7796219;3843.780672;59.369;76.812
St. Kitts and Nevis;KNA;Americas;NA;51195;50774;241.5580352;18029.32554;;
St. Lucia;LCA;Americas;NA;89697;178296;;9262.256115;56.739;76.057
St. Martin (French part);MAF;Americas;NA;3893;36015;;;;79.87073171
St. Vincent and the Grenadines;VCT;Americas;NA;80977;108861;161.3613468;6920.878074;59.26;72.415
Sudan;SDN;Africa;AF;7544491;37977655;125.8598511;2486.745659;48.194;65.095
Suriname;SUR;Americas;SA;287871;553273;346.1619962;8561.974179;59.682;71.57
Eswatini;SWZ;Africa;AF;336583;1095021;104.2125077;3689.518704;43.572;59.401
Sweden;SWE;Europe;EU;7484656;9696110;2114.002973;51397.19176;73.00560976;82.51219512
Switzerland;CHE;Europe;EU;5327827;8188649;1787.360348;82081.60921;71.31341463;83.55121951
Syrian Arab Republic;SYR;Asia;AS;4573512;18715672;187.5373743;;51.971;71.779
Tajikistan;TJK;Asia;AS;2087049;8252833;;929.0958572;50.613;70.879
Tanzania;TZA;Africa;AF;10052152;49959822;;947.9334465;43.6;65.015
Thailand;THA;Asia;AS;27397207;68438730;100.7674787;5840.046948;54.701;76.931
Timor-Leste;TLS;Asia;AS;474532;1174331;;1334.661956;33.729;69.26
Togo;TGO;Africa;AF;1580513;7137997;76.63845417;570.910279;40.297;60.76
Tonga;TON;Oceania;OC;61577;101028;;4320.63799;59.885;70.801
Trinidad and Tobago;TTO;Americas;NA;847979;1362342;631.702115;18289.70434;62.222;73.38
Tunisia;TUN;Africa;AF;4178236;11063201;;3861.688531;42.021;76.505
Turkey;TUR;Europe;EU;27472345;77231907;509.4238522;10948.72461;45.369;77.437
Turkmenistan;TKM;Asia;AS;1603258;5466328;;6432.680702;54.471;68.073
Turks and Caicos Islands;TCA;Americas;NA;5824;35369;;24832.59637;;
Tuvalu;TUV;Oceania;OC;5323;10972;;3197.795645;;
Uganda;UGA;Africa;AF;6767095;36912148;62.50959766;709.0210386;44.359;62.973
Ukraine;UKR;Europe;EU;42664652;45271947;;2124.662666;68.29953659;71.58268293
United Arab Emirates;ARE;Asia;AS;92418;9214175;;38663.38381;51.537;77.814
United Kingdom;GBR;Europe;EU;52400000;64602298;1397.594803;44974.83188;71.12682927;81.35609756
United States;USA;Americas;NA;180671000;318301008;3007.123445;56822.51882;69.77073171;78.53902439
Uruguay;URY;Americas;SA;2538643;3400434;489.3516888;15613.76427;67.783;77.77
Uzbekistan;UZB;Asia;AS;8526300;30757700;;2615.025134;58.835;71.573
Vanuatu;VUT;Oceania;OC;63689;263888;;2801.939848;48.975;70.323
Venezuela, RB;VEN;Americas;SA;8141841;30045134;955.4461834;;59.831;72.128
Vietnam;VNM;Asia;AS;32670039;91714595;;2085.101484;59.039;75.317
Virgin Islands (U.S.);VIR;Americas;NA;32500;107884;;34797.14047;66.22485366;79.56829268
West Bank and Gaza;PSE;Asia;AS;;4173398;;2967.851747;;73.895
Yemen, Rep.;YEM;Asia;AS;5315355;25823485;;1608.744312;29.919;66.096
Zambia;ZMB;Africa;AF;3070776;15399753;232.1888669;1337.796315;46.687;63.51
Zimbabwe;ZWE;Africa;AF;3776681;13586681;278.8136991;1445.071062;53.019;61.195
